Nom;Pare;Estatus;Nivell;Utilitza
3.6.1Diada Mare;Santos;4;3;3
3.6.5Diada Sant Honorat;Santos;4;3;1
3.3.2Carnestoltes;Quaresma;4;3;1
3.6.8Diada Sant Valentí;Santos;4;3;68
3.6.2Diada Montserrat;Santos;4;3;4
5.3.1Bolleria Crua;Cru;4;3;678
4.2.1Ciabbates;Ciabbates.;4;3;0
5.1.1Brioix;Bolleria;4;3;019
3.6.7Diada Sant Josep;Santos;4;3;2
3.6.3Diada Sant Antoni;Santos;4;3;9
Congelat barres;No Cuit;4;3;45
3.2.2Nadal Pastís;Nadal;4;3;1
1.1.6Neteja;Cartronatge;4;3;6
1.2.3Mànigues;Matèries Primes;4;3;45
Bebidas;Productes Tercers;4;3;
Salado ind.;Productes Tercers;4;3;
Calentes;Begudes;4;3;
4.1.1Artesà;Blanc;4;3;6789
4.6.1Barretes;Paneteria;4;3;0123
5.5.2Fregit a Pes;Fregit;4;3;2
5.4.3Nata Petita;Fred;4;3;39
5.7.3Salades;Galetes;4;3;2
4.8.1Sobat Barra;Sobats;4;3;0
6.3.5Truites;Entrants;4;3;2
3.2.1Nadal Pans;Nadal;4;3;0
3.3.1Bunyols;Quaresma;4;3;0
Article;;0;0; 
Begudes.;article;NULL;1;NULL
01 Pa:;Article;4;1;0
02 Pastisseria;Article;4;1;1
materiales;article;NULL;1;NULL
04 Diades;Article;4;1;3
05 Accessoris;Article;4;1;9
03 Cafeteria;Article;4;1;
Fred;02 Pastisseria;4;2;27
Coques;02 Pastisseria;4;2;0
Galetes;02 Pastisseria;4;2;5
Aperitius;06 Altres;4;2;0
Nadal;04 Diades;4;2;5
Sant Joan;04 Diades;4;2;9
Cartronatge;05 Accessoris;4;2;01
No Cuit;01 Pa:;4;2;6
Cru.;06 Altres;4;2;2
Ciabbates.;01 Pa:;4;2;7
Blanc;01 Pa:;4;2;0
Sobats;01 Pa:;4;2;1
Integrals;01 Pa:;4;2;2
Sense Sal;01 Pa:;4;2;3
Paneteria;01 Pa:;4;2;4
Motllo;01 Pa:;4;2;5
Fregit;02 Pastisseria;4;2;1
Bolleria;02 Pastisseria;4;2;3
Full;02 Pastisseria;4;2;4
Entrants;06 Altres;4;2;1
Castanyada;04 Diades;4;2;1
Quaresma;04 Diades;4;2;6
Santos;04 Diades;4;2;3478
